da_record,da_addr,da_len,da_tail,dd_record,dd_hi16,dd_lo16,dd_len
110301DA00000011000100,0,4352,0100,110301DD0000AE028741D02244D9A60BE371F901B82F508B12F680F4788E30FC0476EA7F28E4E50C66B47403EF0A82118AA308F22A9114D415C0B7A8CE7EE870DFCFE635BD1A2BED9A2184D8588F3316EC56FB3B693D6506BE95F78C5CE9F8863617F5884F5743AF25BA775226C46A34F15D1DBB68926794AB0D396DB64DDB93EE51FF1EE7204087,0,44546,132
110301DA00000011000100,0,4352,0100,110301DD00804BF3D7324979B059AC3A9B0F6CA9056B23A1CC60C37CD6B55585A5E2489E813E73C25ABCA71BADFE621F9C3FA46FEB5B298DC84CFA45D3AA7B1075BF472EB99990005EDC7A096E3CF0CAE0B2FDB17D8972D15396382D619F074283C1184697C5194A98C6244E9DC72754A0C9375FA2CD63B3D2640ED531E11CDE2CDADD13CB40415D,128,19443,132
110301DA01000110020103,65537,4098,0103,110301DD010018B400EBC10101F5C052183253881B1803F2147343F0010341F61504615C002903D0022905D002D309E011BC184712BC18471188091801F2147114BC1847FF2012BC7047FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF5368,256,6324,132
110301DA01000110020103,65537,4098,0103,110301DD018010B489B0E4218DF80010F7218DF80110FF218DF802101F218DF80310002105AB03E0009A8A5CCA54491C1029F9D300218DF80010F8218DF8011001218DF8021008218DF80310002100E0491CB1F5006F0DD2009A8A181378452BF6D15378452BF3D19378452BF0D1D278452AEDD11239002207E0009B8C18E35C83F03C0301AC341D,384,4276,132
110301DA0180010F010181,98305,3841,0181,110301DD02001355521C102AF5D3002100E0491C102915D201AA8A5C05ABCB5C9A42F6D000F5B8501430452101705221417081703021C1703121017100214171FC2000E0002009B010BC7047FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF52C0,512,4949,132
110301DA0180010F010181,98305,3841,0181,110301DD018080B5064800909DF8000040F001008DF8000000988047002002BD00BF010A0008FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF2AC1,384,32949,68
110301DA01800100000171,98305,0,0171,110301DD01C080B5064800909DF8000040F001008DF8000000988047002002BD00BF130A0008FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF2B13,448,32949,68
110301DA01C001010001B2,114689,256,01b2,110301DD020038B50C460A4800909DF8000040F001008DF80000002505E02068281800998847A068451960688542F6D3002032BD00BF410A0008FFFFFFFFFFFFFFFFFFFFFFFF1D6D,512,14517,68
110301DA01C001010001B2,114689,256,01b2,110301DD0240F8B504460D460E4800909DF8000040F001008DF80000AE68002700E0BF1C686887420BD2F0190019B0F8141728683818009A90470028F1D1FF20F2BD0020F2BD770A0008FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF5637,576,63669,132
110301DA020001020200F6,131073,514,00f6,110301DD02C010B400200A68034603E09C5C201880B25B1C4C68A342F8D30989884201D0FF2000E0002010BC7047FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF282A,704,4276,68
110301DA020001020200F6,131073,514,00f6,110301DD03002DE9F0410C4600231F4A154607E05919C9785E19B67806EB01210831CB184AF6AA215E1976785F5D07EB06268E42EED0D5182288101800F21476144F47F001072846B847616889B2A81CB8476188281DB847AD1D4FF000080CE008EB0600407818F8061001EB002189B208EB0500B84708F1020860688045EFD345F2555140192F94,768,11753,132
110301DA02400103020137,147457,770,0137,110301DD0380B8470020BDE8F08100DC0108770A0008FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF36E8,896,47175,68
110301DA02C001040201B8,180225,1026,01b8,,,,
110301DA030001050200FA,196609,1282,00fa,,,,
