pos2,pos3,pos4,pos6,pos8,offset
48,8,4,4,340,292
48,8,4096,32779,488,440
16,8,32,4,336,320
16,8,4,32779,444,428
20,8,4,32779,448,428
24,8,4,32779,452,428
28,8,4,32779,456,428
32,8,4,32779,460,428
36,8,4,32779,464,428
40,8,4,32779,468,428
44,8,4,32779,472,428
16,8,32,13566,640,624
56,8,40,4,385,329
56,8,4,32779,484,428
60,8,4,32779,488,428
64,8,4,32779,492,428
68,8,4,32779,496,428
72,8,4,32779,500,428
76,8,4,32779,504,428
80,8,4,32779,508,428
84,8,4,32779,512,428
88,8,4,32779,516,428
92,8,4,32779,520,428
96,8,4,32779,524,428
100,8,4,32779,528,428
104,8,4,32779,532,428
108,8,4,32779,536,428
112,8,4,32779,540,428
116,8,4,32779,544,428
120,8,4,32779,548,428
124,8,4,32779,552,428
128,8,4,32779,556,428
132,8,4,32779,560,428
136,8,4,32779,564,428
140,8,4,32779,568,428
144,8,4,32779,572,428
148,8,4,32779,576,428
152,8,4,32779,580,428
156,8,4,32779,584,428
160,8,4,32779,588,428
164,8,4,32779,592,428
168,8,4,32779,596,428
172,8,4,32779,600,428
176,8,4,32779,604,428
180,8,4,32779,608,428
184,8,4,32779,612,428
188,8,4,32779,616,428
192,8,4,32779,620,428
196,8,4,32779,624,428
200,8,4,32779,628,428
204,8,4,32779,632,428
208,8,4,32779,636,428
212,8,4,32779,640,428
216,8,4,32779,644,428
220,8,4,32779,648,428
224,8,4,32779,652,428
228,8,4,32779,656,428
232,8,4,32779,660,428
236,8,4,32779,664,428
240,8,4,32779,668,428
244,8,4,32779,672,428
248,8,4,32779,676,428
252,8,4,32779,680,428
0,264,4,32779,429,429
4,264,4,32779,433,429
8,264,4,32779,437,429
12,264,4,32779,441,429
16,264,4,32779,445,429
20,264,4,32779,449,429
24,264,4,32779,453,429
28,264,4,32779,457,429
32,264,4,32779,461,429
36,264,4,32779,465,429
40,264,4,32779,469,429
44,264,4,32779,473,429
48,264,4,32779,477,429
52,264,4,32779,481,429
56,264,4,32779,485,429
60,264,4,32779,489,429
64,264,4,32779,493,429
68,264,4,32779,497,429
72,264,4,32779,501,429
76,264,4,32779,505,429
80,264,4,32779,509,429
84,264,4,32779,513,429
88,264,4,32779,517,429
92,264,4,32779,521,429
56,8,40,57052,825,769
144,264,28,4,461,317
144,264,4,32779,573,429
148,264,4,32779,577,429
152,264,4,32779,581,429
156,264,4,32779,585,429
160,264,4,32779,589,429
164,264,4,32779,593,429
168,264,1,32779,594,426
144,264,25,13915,601,457
48,8,4,4,340,292
48,8,4096,32779,488,440
